sample,latitude,longitude,dist_coast,dist_ocean,elevation
TGV2_1,-84.91778333,-177.0528,42115.00279,709377.8915,1040.960938
TGV2_2,-84.91638333,-177.02175,41884.1721,709128.6787,1042.851563
TGV2_3,-84.91551667,-176.9955667,41723.57967,708950.5917,1037.070313
TGV2_4,-84.9145,-176.9688333,41547.04832,708755.4891,1034.429688
TGV2_5,-84.915,-176.9068833,41443.39458,708594.7353,950.359375
TGV2_6,-84.91455,-176.89165,41358.91654,708497.0173,912.84375
TGV2_7,-84.9145,-176.88595,41339.89937,708472.5244,882.5078125
TGV2_8,-84.9174,-177.0489833,42064.50517,709325.7698,1040.960938
TGV2_extra,-84.91903333,-177.06025,42265.93905,709530.6473,1078.414063
TGV3_3,-84.9135,-176.9650833,41432.46985,708640.8732,1043.15625
TGV3_4,-84.91456667,-176.9322833,41460.79501,708637.264,1023.1875
TGV3_5,-84.91495,-176.9117667,41450.12119,708606.2886,980.6015625
TGV3_6,-84.9145,-176.9008333,41375.95204,708523.1983,950.359375
TGV3_7,-84.91411667,-176.8959667,41323.72346,708467.5784,910.6875
TGV3_8,-84.91358333,-176.8834667,41237.28831,708370.696,881.2109375
TGV3_9,-84.91368333,-176.8831667,41247.10915,708379.8619,881.2109375
TN1_2,-84.92538333,-176.0765,41351.04512,706926.6154,1047.359375
TN1_3,-84.92523333,-176.0817667,41337.13239,706927.8886,1047.359375
TN1_5,-84.921,-176.0976,40884.54247,706543.0657,934.53125
TN1_6,-84.91865,-176.1080333,40634.52791,706334.7846,906.9375
TN1_7,-84.916,-176.1338833,40361.25575,706144.9942,871.578125
TN1_8,-84.91481667,-176.1509167,40243.35179,706077.9256,845.0078125
TN1_9Bonus,-84.91556667,-176.1465833,40322.03843,706141.0842,855.765625
TN1_9,-84.91556667,-176.1465833,40322.03843,706141.0842,855.765625
TN2_1,-84.92381667,-176.0987667,41191.32555,706836.2319,974.796875
TN2_2,-84.92416667,-176.0996167,41229.80268,706874.9006,992.65625
TN2_3,-84.92451667,-176.09975,41267.91755,706911.2928,992.65625
TN2_4,-84.92548333,-176.1047,41375.52756,707026.3544,1015.289063
TN2_5,-84.92635,-176.1060167,41470.41573,707119.5991,1022.25
TN2_6,-84.9266,-176.1063333,41497.75467,707146.2957,1022.25
TN2_7,-84.92663333,-176.10935,41502.95324,707159.3013,1022.25
TN2_8,-84.92661667,-176.1107833,41501.89869,707162.1421,1022.25
TN3_1,-84.92271667,-176.1242333,41085.42241,706804.1997,1014.257813
TN3_2,-84.92166667,-176.1252333,40971.89203,706699.5112,989.796875
TN3_5,-84.9182,-176.1281667,40596.89492,706352.7299,895.59375
T0-1_S137,-77.57881,163.52307,442.0613913,442.0613913,-51.7421875
T0-2_S138,-77.57881,163.52307,442.0613913,442.0613913,-51.7421875
T0-3_S72,-77.57881,163.52307,442.0613913,442.0613913,-51.7421875
T0-4_S140,-77.57881,163.52307,442.0613913,442.0613913,-51.7421875
T100-1_S145,-77.58326,163.53085,858.8352856,858.8352856,25.5546875
T100-2_S146,-77.58326,163.53085,858.8352856,858.8352856,25.5546875
T100-3_S73,-77.58326,163.53085,858.8352856,858.8352856,25.5546875
T100-4_S148,-77.58326,163.53085,858.8352856,858.8352856,25.5546875
T150-1_S149,-77.58806,163.54169,1060.448953,1060.448953,82.8359375
T150-2_S150,-77.58806,163.54169,1060.448953,1060.448953,82.8359375
T150-3_S151,-77.58806,163.54169,1060.448953,1060.448953,82.8359375
T150-4_S152,-77.58806,163.54169,1060.448953,1060.448953,82.8359375
T200-1_S153,-77.59398,163.55348,1011.65917,1011.65917,134.1796875
T200-2_S154,-77.59398,163.55348,1011.65917,1011.65917,134.1796875
T200-3_S74,-77.59398,163.55348,1011.65917,1011.65917,134.1796875
T200-4_S156,-77.59398,163.55348,1011.65917,1011.65917,134.1796875
T450-1_S157,-77.6152,163.58061,2292.850786,2292.850786,382.234375
T450-2_S158,-77.6152,163.58061,2292.850786,2292.850786,382.234375
T450-3_S159,-77.6152,163.58061,2292.850786,2292.850786,382.234375
T450-4_S160,-77.6152,163.58061,2292.850786,2292.850786,382.234375
T50-1_S141,-77.58166,163.52771,711.2743077,711.2743077,-3.890625
T50-2_S142,-77.58166,163.52771,711.2743077,711.2743077,-3.890625
T50-3_S143,-77.58166,163.52771,711.2743077,711.2743077,-3.890625
T50-4_S144,-77.58166,163.52771,711.2743077,711.2743077,-3.890625
T500-1_S161,-77.61658,163.58295,2350.905703,2350.905703,448.1640625
T500-2_S75,-77.61658,163.58295,2350.905703,2350.905703,448.1640625
T500-3_S80,-77.61658,163.58295,2350.905703,2350.905703,448.1640625
T500-4_S76,-77.61658,163.58295,2350.905703,2350.905703,448.1640625
