"latitude" "longitude"
"CR.16.191" -46.43134 51.85979
"CR.16.82" -46.4357 51.83424
"DR.17.138" -56.51336 -68.72871
"DR.17.74.2" -56.51255 -68.72959
"KER.16.186" -49.34361 70.06525
"KER.16.187" -49.3541 70.01931
"MAC.17.02" -73.23471 -126.76921
"MAC.17.03" -73.23436 -126.77721
"MAC.17.04" -73.19804 -127.05265
"MAC.17.05" -73.19803 -127.05704
"MAC.17.06" -73.54043 -127.445
"MAC.17.07" -73.54047 -127.44504
"MAC.17.08" -73.54041 -127.44522
"MAC.17.09.a" -73.54041 -127.44522
"MAC.17.09.b" -73.54041 -127.44522
"MAC.17.09.c" -73.54041 -127.44522
"MAC.17.20.b" -73.54089 -127.42231
"MAR.16.132" -46.89094 37.79452
"PET.17.01" -68.8153 -90.7321
"SC.17.01" -67.379 -179.912
"SC.17.02" -67.379 -179.912
"SC.17.03" -67.379 -179.912
"SC.17.04" -67.379 -179.912
"SC.17.05" -67.379 -179.912
"SC.17.06" -67.379 -179.912
"SG.17.103" -54.266 -36.502
"SG.17.111" -54.262 -36.502
"SG.17.91" -54.272 -36.516
"SG.17.95" -54.262 -36.504
"SG.17.99" -54.263 -36.505
"SRR16996395" -62.16527778 -58.96777778
"SRR16996396" -62.18777778 -58.9175
"SRR16996397" -62.17388889 -58.9525
"SRR16996398" -62.18222222 -58.97777778
"SRR16996399" -62.17972222 -58.91861111
"SRR16996400" -62.17055556 -58.94361111
"SRR16996401" -62.17388889 -58.9525
"SRR16996402" -62.17722222 -58.97833333
"SRR16996403" -62.18222222 -58.97777778
"SRR16996404" -74.76804444 164.0160222
"SRR16996405" -74.76804444 164.0160222
"SRR16996406" -74.76804444 164.0160222
"SRR16996407" -74.76804444 164.0160222
"SRR16996408" -74.76804444 164.0160222
"SRR16996409" -62.185 -58.9775
"SRR16996410" -74.76804444 164.0160222
"SRR16996411" -74.76804444 164.0160222
"SRR16996412" -74.76804444 164.0160222
"SRR16996413" -74.76804444 164.0160222
"SRR16996414" -74.76804444 164.0160222
